Type,x_1,y_1,z_1,x_2,y_2,z_2,Orientation,Width,Height
wall,-13.7967,9.3375,0.0,-7.8564,9.3375,0.0,0.0,0.0,0.0
wall,-7.8564,9.3375,0.0,-7.8564,-10.2625,0.0,0.0,0.0,0.0
wall,-7.8564,-10.2625,0.0,-8.3345,-10.2625,0.0,0.0,0.0,0.0
wall,-8.3345,-10.2625,0.0,-8.3345,-11.0016,0.0,0.0,0.0,0.0
wall,-8.3345,-11.0016,0.0,-14.4345,-11.0016,0.0,0.0,0.0,0.0
wall,-14.4345,-11.0016,0.0,-14.4345,8.7984,0.0,0.0,0.0,0.0
wall,-14.4345,8.7984,0.0,-13.7967,9.3375,0.0,0.0,0.0,0.0
wall,-7.8564,-9.1625,0.0,-5.9983,-9.1625,0.0,0.0,0.0,0.0
wall,-5.9983,-8.6514,0.0,-5.9983,-11.0016,0.0,0.0,0.0,0.0
wall,-5.9983,-8.6514,0.0,-5.7951,-8.6514,0.0,0.0,0.0,0.0
wall,-5.7951,-8.6514,0.0,-5.7951,-7.6354,0.0,0.0,0.0,0.0
wall,-5.7951,-7.6354,0.0,-5.9983,-7.6354,0.0,0.0,0.0,0.0
wall,-5.9983,-7.6354,0.0,-5.9983,-4.4531,0.0,0.0,0.0,0.0
wall,-5.9983,-4.4531,0.0,-5.0983,-4.4531,0.0,0.0,0.0,0.0
wall,-5.0983,-4.4531,0.0,-5.0983,-9.6808,0.0,0.0,0.0,0.0
wall,-5.0983,-9.6808,0.0,-5.9983,-9.6808,0.0,0.0,0.0,0.0
wall,-5.0983,-4.4531,0.0,14.8017,-4.4531,0.0,0.0,0.0,0.0
wall,14.8017,-4.4531,0.0,14.8017,-7.6123,0.0,0.0,0.0,0.0
wall,14.8017,-7.6123,0.0,14.8017,-9.6998,0.0,0.0,0.0,0.0
wall,14.8017,-9.6998,0.0,15.2967,-10.1948,0.0,0.0,0.0,0.0
wall,15.2967,-10.1948,0.0,17.4967,-10.1948,0.0,0.0,0.0,0.0
wall,17.4967,-10.1948,0.0,18.0624,-9.6291,0.0,0.0,0.0,0.0
wall,18.0624,-9.6291,0.0,18.0624,-6.5291,0.0,0.0,0.0,0.0
wall,18.0624,-6.5291,0.0,17.5476,-6.0143,0.0,0.0,0.0,0.0
wall,17.5476,-6.0143,0.0,17.5476,-2.5143,0.0,0.0,0.0,0.0
wall,14.8017,-7.6123,0.0,15.9672,-7.6123,0.0,0.0,0.0,0.0
wall,15.6878,-7.6123,0.0,15.6878,-4.4531,0.0,0.0,0.0,0.0
wall,15.6878,-4.4531,0.0,14.8017,-4.4531,0.0,0.0,0.0,0.0
wall,18.0624,-7.6123,0.0,17.1624,-7.6123,0.0,0.0,0.0,0.0
wall,17.5476,-6.0143,0.0,17.5476,-7.6123,0.0,0.0,0.0,0.0
wall,17.3976,-2.5143,0.0,19.5058,-2.5143,0.0,0.0,0.0,0.0
wall,19.5058,-2.5143,0.0,19.5058,4.2606,0.0,0.0,0.0,0.0
wall,19.5058,4.2606,0.0,17.3976,4.2606,0.0,0.0,0.0,0.0
wall,17.4999,4.2606,0.0,17.4999,11.577,0.0,0.0,0.0,0.0
wall,17.4999,11.577,0.0,16.9343,12.1427,0.0,0.0,0.0,0.0
wall,16.9343,12.1427,0.0,15.3606,12.1427,0.0,0.0,0.0,0.0
wall,15.3606,12.1427,0.0,14.7949,11.577,0.0,0.0,0.0,0.0
wall,14.7949,11.577,0.0,14.7949,5.9863,0.0,0.0,0.0,0.0
wall,-4.8983,5.9863,0.0,14.7949,5.9863,0.0,0.0,0.0,0.0
wall,15.6868,7.0721,0.0,15.6868,6.0625,0.0,0.0,0.0,0.0
wall,17.4999,6.0625,0.0,14.7949,6.0625,0.0,0.0,0.0,0.0
wall,17.3976,-2.5143,0.0,17.3976,4.2606,0.0,0.0,0.0,0.0
wall,19.5058,-1.0898,0.0,17.3976,-1.0898,0.0,0.0,0.0,0.0
wall,18.5722,-2.5143,0.0,18.5722,-1.0898,0.0,0.0,0.0,0.0
wall,15.6868,7.0721,0.0,14.7949,7.0721,0.0,0.0,0.0,0.0
wall,-5.9983,4.2845,0.0,-5.9983,-2.6751,0.0,0.0,0.0,0.0
wall,-5.9983,-2.6751,0.0,-5.0983,-2.6751,0.0,0.0,0.0,0.0
wall,-5.9983,4.2845,0.0,-5.0983,4.2845,0.0,0.0,0.0,0.0
wall,-5.0983,4.3607,0.0,-5.0983,-2.7751,0.0,0.0,0.0,0.0
wall,-5.0983,-2.7751,0.0,2.4017,-2.7751,0.0,0.0,0.0,0.0
wall,2.4017,-2.7751,0.0,2.4017,4.3607,0.0,0.0,0.0,0.0
wall,2.4017,4.3607,0.0,-5.0983,4.3607,0.0,0.0,0.0,0.0
wall,-5.9983,1.6845,0.0,-5.0983,1.6845,0.0,0.0,0.0,0.0
wall,-5.0983,-0.0843,0.0,-5.9983,-0.0843,0.0,0.0,0.0,0.0
wall,15.6868,4.2606,0.0,15.6868,-2.6394,0.0,0.0,0.0,0.0
wall,15.6868,-2.6394,0.0,14.8017,-2.6394,0.0,0.0,0.0,0.0
wall,15.6868,4.2606,0.0,14.8017,4.2606,0.0,0.0,0.0,0.0
wall,14.8017,4.3607,0.0,14.8017,-2.7513,0.0,0.0,0.0,0.0
wall,15.6868,1.7106,0.0,14.8017,1.7106,0.0,0.0,0.0,0.0
wall,15.6868,-0.1198,0.0,14.8017,-0.1198,0.0,0.0,0.0,0.0
wall,7.2828,4.3607,0.0,14.8017,4.3607,0.0,0.0,0.0,0.0
wall,7.2828,4.3607,0.0,7.2828,-2.7513,0.0,0.0,0.0,0.0
wall,7.2828,-2.7513,0.0,14.8017,-2.7513,0.0,0.0,0.0,0.0
wall,-9.843,9.3375,0.0,-9.843,10.2154,0.0,0.0,0.0,0.0
wall,-9.7112,10.2154,0.0,-10.1818,10.2154,0.0,0.0,0.0,0.0
wall,-10.1818,10.2154,0.0,-10.7964,10.83,0.0,0.0,0.0,0.0
wall,-10.7964,10.83,0.0,-10.7964,12.925,0.0,0.0,0.0,0.0
wall,-10.7964,12.925,0.0,-10.1818,13.5397,0.0,0.0,0.0,0.0
wall,-10.1818,13.5397,0.0,-10.1818,10.2154,0.0,0.0,0.0,0.0
wall,-10.1818,13.5397,0.0,-5.9983,13.5397,0.0,0.0,0.0,0.0
wall,-5.9983,13.5397,0.0,-5.9983,6.0879,0.0,0.0,0.0,0.0
wall,-5.9983,6.0879,0.0,-5.0983,6.0879,0.0,0.0,0.0,0.0
wall,-5.0983,5.9879,0.0,-5.0983,12.9577,0.0,0.0,0.0,0.0
wall,-5.0983,12.9577,0.0,-5.6802,13.5397,0.0,0.0,0.0,0.0
wall,-5.6802,13.5397,0.0,-5.9983,13.5397,0.0,0.0,0.0,0.0
wall,-5.0983,5.9879,0.0,-4.8983,5.9879,0.0,0.0,0.0,0.0
wall,-7.8564,8.6442,0.0,-5.9983,8.6442,0.0,0.0,0.0,0.0
wall,-9.7112,10.2154,0.0,-9.7112,10.698,0.0,0.0,0.0,0.0
wall,-9.7112,10.698,0.0,-10.1818,10.698,0.0,0.0,0.0,0.0
wall,-10.1818,13.0275,0.0,-9.7112,13.0275,0.0,0.0,0.0,0.0
wall,-9.7112,13.0275,0.0,-9.7112,13.5397,0.0,0.0,0.0,0.0
wall,-5.9983,8.2528,0.0,-5.0983,8.2528,0.0,0.0,0.0,0.0
